DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2006-0374-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,USA,United States of America,Northern America,Americas,California province,,,No,No,Yes,,350,Km2,,,,2006,7,9,2006,7,14,1,17,,150,167,,,,,16000,24184,66.16033056,"[{""adm1_code"":3218,""adm1_name"":""California""}]",2006-07-20,2023-09-25
2006-0387-USA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,USA,United States of America,Northern America,Americas,"Modesto city (Stanislaus district, California province)",,,No,No,No,,50,°C,,,,2006,7,14,2006,8,15,164,,,,,,,,,,,66.16033056,"[{""adm2_code"":28914,""adm2_name"":""Stanislaus""}]",2007-03-18,2023-09-25
2006-0413-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,El Paso district (Texas province),Heavy rain,,No,No,No,,3610,Km2,31.76,-106.39,Rio Grande,2006,7,27,2006,8,7,,,,,,,,,,100000,151148,66.16033056,"[{""adm2_code"":31269,""adm2_name"":""El Paso""}]",2007-01-06,2023-09-25
2006-0418-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,Lake district (Ohio province),Heavy rain,,No,No,No,,4720,Km2,41.52,-81.09,"Grand, Chagrin rivers",2006,7,27,2006,7,30,1,,600,,600,,,,,,,66.16033056,"[{""adm2_code"":30762,""adm2_name"":""Lake""}]",2007-01-07,2023-09-25
2006-0427-USA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,USA,United States of America,Northern America,Americas,New York province,,,No,No,Yes,,44,°C,,,,2006,7,30,2006,8,6,24,,,,,,,,,,,66.16033056,"[{""adm1_code"":3246,""adm1_name"":""New York""}]",2006-08-08,2023-09-25
2006-0461-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,Alaska province,Heavy rain,,No,No,No,,95940,Km2,62.45,-99.99,"Little Sustina, Kahiltna, Sheridan, Eyak, Lake Creek, Campbell Creek",2006,8,19,2006,8,24,,,150,,150,,,,,15500,23428,66.16033056,"[{""adm1_code"":3215,""adm1_name"":""Alaska""}]",2007-01-07,2023-09-25
2006-0466-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Ernesto,USA,United States of America,Northern America,Americas,"South Carolina, North Carolina, Virginia provinces",,Flood,No,No,No,,119,Kph,34.74,-77.87,,2006,8,2,2006,9,7,6,,140,,140,,,,,32860,49667,66.16033056,"[{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm1_code"":3260,""adm1_name"":""Virginia""}]",2007-01-08,2023-09-25
2006-0546-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Mercer, Jessamine, Franklin, Calloway, Montgomery districts (Kentucky province), Sharp, Clay, Fulton, Randolph, Lawrence districts (Arkansas province), Obion district (Tennessee province), Missouri, Indiana, Illinois provinces",Heavy rain,Rain,No,No,Yes,,146000,Km2,37.21,-87.62,"Harris Fork Creek, Green, Licking, Rolling Fork, Spring, Eleven Point",2006,9,22,2006,9,26,14,10,1200,,1210,,,,,,,66.16033056,"[{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm2_code"":28800,""adm2_name"":""Clay""},{""adm2_code"":28814,""adm2_name"":""Fulton""},{""adm2_code"":28827,""adm2_name"":""Lawrence""},{""adm2_code"":28850,""adm2_name"":""Randolph""},{""adm2_code"":28856,""adm2_name"":""Sharp""},{""adm2_code"":29688,""adm2_name"":""Calloway""},{""adm2_code"":29707,""adm2_name"":""Franklin""},{""adm2_code"":29727,""adm2_name"":""Jessamine""},{""adm2_code"":29754,""adm2_name"":""Mercer""},{""adm2_code"":29757,""adm2_name"":""Montgomery""},{""adm2_code"":31170,""adm2_name"":""Obion""}]",2007-03-15,2023-09-25
2006-0566-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Prince William Sound area (Valdez-Cordova district, Alaska province)",Heavy rain,,No,No,No,,51560,Km2,60.88,-145.99,"Copper, Lowe",2006,10,9,2006,10,14,,,100,,100,,,,,,,66.16033056,"[{""adm2_code"":154734,""adm2_name"":""Valdez-Cordova""}]",2007-01-07,2023-09-25
2006-0576-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,USA,United States of America,Northern America,Americas,"Riverside, Palm Springs cities (Riverside district, California province), San Diego district (California province)",,,No,No,Yes,,,Km2,,,,2006,10,26,2006,10,27,4,1,,102,103,,,,,25000,37787,66.16033056,"[{""adm2_code"":28897,""adm2_name"":""Riverside""},{""adm2_code"":28901,""adm2_name"":""San Diego""}]",2008-03-28,2023-09-25
2006-0595-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"North Carolina, Alabama, Arizona, Arkansas, Louisiana, Maryland, Mississippi, Pennsylvania, South Dakota, Texas provinces",,Flood,No,No,No,,,Kph,,,,2006,11,15,2006,11,16,12,20,,,20,,,62500,94467,95000,143591,66.16033056,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3216,""adm1_name"":""Arizona""},{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3234,""adm1_name"":""Maryland""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3255,""adm1_name"":""South Dakota""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2008-03-28,2023-09-25
2006-0598-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Washington, Oregon provinces",Heavy rains,,No,No,No,,57890,Km2,47.86,-122.15,"Cowlitz, Skokomish, Skykomish, Tolt, Puyallup, Skagit, Snohomish, Pilchuck, Carbon, Snoqualmie, South Fork of the Stillaguamish, Nisqually, White, Wenatchee rivers (Washington); White, Columbia, Nehalem, Wilson rivers (Oregon)",2006,11,5,2006,11,10,2,,1500,,1500,,,,,,,66.16033056,"[{""adm1_code"":3251,""adm1_name"":""Oregon""},{""adm1_code"":3261,""adm1_name"":""Washington""}]",2007-01-07,2023-09-25
2006-0642-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,USA,United States of America,Northern America,Americas,"Erie, Niagara, Genesee, Orleans districts (New York province)",,Flood,No,No,Yes,,,Kph,,,,2006,10,12,2006,10,14,3,,,,,,,200000,302296,300000,453444,66.16033056,"[{""adm2_code"":30519,""adm2_name"":""Erie""},{""adm2_code"":30523,""adm2_name"":""Genesee""},{""adm2_code"":30536,""adm2_name"":""Niagara""},{""adm2_code"":30541,""adm2_name"":""Orleans""}]",2007-03-18,2023-09-25
2006-0662-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,USA,United States of America,Northern America,Americas,Ventura district (California province),,,No,No,Yes,,,Km2,,,,2006,12,3,2006,12,6,,,,15,15,,,,,25000,37787,66.16033056,"[{""adm2_code"":28920,""adm2_name"":""Ventura""}]",2008-03-28,2023-09-25
2006-0704-USA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ev94,,USA,United States of America,Northern America,Americas,Hawai province,,"Slide (land, mud, snow, rock)|Tsunami/Tidal wave",No,No,No,,6.7,Moment Magnitude,19.878,-155.935,,2006,10,15,2006,10,15,,10,3519,,3529,,,40000,60459,150000,226722,66.16033056,"[{""adm1_code"":3225,""adm1_name"":""Hawaii""}]",2007-01-03,2023-09-25
2006-0706-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Daytona beach (Volusia district, Florida province)",,,No,No,No,,193,Kph,,,,2006,12,25,2006,12,25,,,600,,600,,,56000,84643,90000,136033,66.16033056,"[{""adm2_code"":29061,""adm2_name"":""Volusia""}]",2008-03-28,2023-09-25
2006-0707-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,USA,United States of America,Northern America,Americas,Colorado provinces,,,No,No,Yes,,,Kph,,,,2006,12,21,2006,12,21,,,,,,,,,,,,66.16033056,"[{""adm1_code"":3219,""adm1_name"":""Colorado""}]",2007-01-08,2023-09-25
2006-0718-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,USA,United States of America,Northern America,Americas,Kansas province,,,No,No,Yes,,,Kph,,,,2006,12,27,2006,12,31,,,,,,,,,,360000,544133,66.16033056,"[{""adm1_code"":3230,""adm1_name"":""Kansas""}]",2007-02-05,2023-09-25
2006-0743-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,"Illinois, Indiana, Kentucky, Missouri, New York, Ohio, Pennsylvania, Tennessee provinces",,Rain,No,No,No,,,Kph,,,,2006,11,30,2006,12,3,11,,,,,,,450000,680166,,,66.16033056,"[{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3256,""adm1_name"":""Tennessee""}]",2007-03-18,2023-09-25
2006-0744-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,"Oregon, Washington provinces",,,No,No,No,,,Kph,,,,2006,12,14,2006,12,15,10,,,,,,,200000,302296,,,66.16033056,"[{""adm1_code"":3251,""adm1_name"":""Oregon""},{""adm1_code"":3261,""adm1_name"":""Washington""}]",2007-03-18,2023-09-25
2006-0759-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,East Amarillo Complex Fire,USA,United States of America,Northern America,Americas,Texas,,,No,No,No,,,Km2,,,,2006,3,,2006,3,,12,,,300,300,,,,,150000,226722,66.16033056,"[{""adm1_code"":3257,""adm1_name"":""Texas""}]",2024-03-11,2024-04-09
2007-0026-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,"California, Texas, Georgia, South Carolina, Oklahoma, Missouri, Iowa, Michigan, New York, Maine, Kansas, Illinois provinces",,Cold wave|Rain,No,No,Yes,,,Kph,,,,2007,1,12,2007,1,17,65,220,,,220,,,200000,293912,500000,734779,68.04767383,"[{""adm1_code"":3218,""adm1_name"":""California""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3233,""adm1_name"":""Maine""},{""adm1_code"":3236,""adm1_name"":""Michigan""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2008-03-28,2023-09-25
2007-0041-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Indiana, Arkansas, Texas, Ohio, Missouri provinces",Heavy rains,,No,No,No,,434.4,Km2,34.88,-90.07,"Wabash, White, East Fork of White River, Lower Ohio, Patoka, Black, St Francis, White, Cache, Ouachita, Sabine, Navasota, Neches, Sulpher, lower Ohio",2007,1,15,2007,1,25,24,,,,,,,,,,,68.04767383,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2007-02-01,2023-09-25
2007-0048-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,GLIDE:TO-2007-000024,,USA,United States of America,Northern America,Americas,"Volusia, Lake, Sumter, Seminole districts (Florida province)",,,No,No,Yes,,265,Kph,,,,2007,2,2,2007,2,2,20,,6600,,6600,,,100000,146956,130000,191043,68.04767383,"[{""adm2_code"":29031,""adm2_name"":""Lake""},{""adm2_code"":29054,""adm2_name"":""Seminole""},{""adm2_code"":29057,""adm2_name"":""Sumter""},{""adm2_code"":29061,""adm2_name"":""Volusia""}]",2008-08-04,2023-09-25
2007-0066-CAN,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,CAN,Canada,Northern America,Americas,"Ontario, Quebec provinces",,Cold wave,No,No,No,,,Kph,,,,2007,2,14,2007,2,15,2,,,,,,,,,,,68.04767383,"[{""adm1_code"":833,""adm1_name"":""Ontario""},{""adm1_code"":835,""adm1_name"":""Quebec / Québec""}]",2008-01-03,2023-09-25
2007-0066-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,USA,United States of America,Northern America,Americas,"New York, Vermont, New Jersey, Ohio, Pennsylvania provinces",,Cold wave,No,No,No,,64,Kph,,,,2007,2,14,2007,2,15,16,,,,,,,100000,146956,140000,205738,68.04767383,"[{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3259,""adm1_name"":""Vermont""}]",2008-01-03,2023-09-25
2007-0083-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Alabama, Missouri, Georgia, Minnesota provinces",,,No,No,No,,,Kph,,,,2007,3,1,2007,3,2,20,20,,,20,,,450000,661301,600000,881735,68.04767383,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3237,""adm1_name"":""Minnesota""},{""adm1_code"":3239,""adm1_name"":""Missouri""}]",2008-04-16,2023-09-25
2007-0156-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,Texas province,,Flood,No,No,No,,240,Kph,,,,2007,4,24,2007,4,26,10,80,,200,280,,,,,,,68.04767383,"[{""adm1_code"":3257,""adm1_name"":""Texas""}]",2008-03-27,2023-09-25
2007-0165-CAN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,CAN,Canada,Northern America,Americas,"Terrace city (Kitimat-Stikine district, British-Columbia province), Smithers city, Telkwa village (Bulkley-Nechako district, British-Columbia province), Prince George city, McBride village (Fraser-Fort George district, British Columbia province)",Snowmelt,,No,No,No,,205000,Km2,54.18,-125.03,"Skeena, Bulkley, Nass, Telkwa, Fraser",2007,6,6,2007,6,11,,,500,,500,,,,,,,68.04767383,"[{""adm2_code"":12540,""adm2_name"":""Bulkley-Nechako""},{""adm2_code"":12551,""adm2_name"":""Fraser-Fort George""},{""adm2_code"":12553,""adm2_name"":""Kitimat-Stikine""}]",2007-06-14,2023-09-25
2007-0173-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Texas, Kansas, Oklahoma provinces",Heavy rain,,No,No,No,,341.3,Km2,30.24,-98.66,"Guadalupe, Pedernales, Medina, Little Arkansas, Mulberry Creek, Honey Creek, Washita",2007,5,24,2007,5,29,8,,100,,100,,,,,,,68.04767383,"[{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2007-06-15,2023-09-25
2007-0244-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Wichita Falls area (Wichita district, Texas province), Georgetown areas (Williamson district, Texas province), Burnet, Marble Falls, Granite Shoals areas (Burnet district, Texas province), Granbury area (Hood district, Texas province), Lampasas, Parker, Eastland districts (Texas province), Miami, Commerce areas (Ottawa district, Oklahoma province), Shawnee, Tecumseh, Maud areas (Pottawatomie district, Oklahoma province), Oklahoma city (Oklahoma district, Oklahoma province), Waurika area (Jefferson district, Oklahoma province), Bartlesville, Dewey areas (Washington district, Oklahoma province), Love, Lincoln districts (Oklahoma province), Coffeyville area (Montgomery district, Kansas province), Osawatomie area (Miami district, Kansas province), Allen, Labette, Neosho, Wilson, Woodson districts (Kansas province), Rockville, Papinville areas (Bates district, Missouri province), Vernon district (Missouri province)",Heavy rain,Rain,No,No,No,,507800,Km2,32.84,-97.17,"San Gabriel, Brazos, Wichita, Trinity, Guadalupe, Sabine, Nueces, Colorado, Caney, Neosho, Red River, Verdigris, Marais des Cygnes, Pottawatomie, Marmaton, Osage and Marais des Cygnes",2007,6,26,2007,7,6,8,,5000,,5000,,,,,,,68.04767383,"[{""adm2_code"":29566,""adm2_name"":""Allen""},{""adm2_code"":29615,""adm2_name"":""Labette""},{""adm2_code"":29626,""adm2_name"":""Miami""},{""adm2_code"":29628,""adm2_name"":""Montgomery""},{""adm2_code"":29632,""adm2_name"":""Neosho""},{""adm2_code"":29668,""adm2_name"":""Wilson""},{""adm2_code"":29669,""adm2_name"":""Woodson""},{""adm2_code"":30167,""adm2_name"":""Bates""},{""adm2_code"":30269,""adm2_name"":""Vernon""},{""adm2_code"":30841,""adm2_name"":""Jefferson""},{""adm2_code"":30850,""adm2_name"":""Love""},{""adm2_code"":30862,""adm2_name"":""Oklahoma""},{""adm2_code"":30865,""adm2_name"":""Ottawa""},{""adm2_code"":30870,""adm2_name"":""Pottawatomie""},{""adm2_code"":30881,""adm2_name"":""Washington""},{""adm2_code"":31226,""adm2_name"":""Burnet""},{""adm2_code"":31266,""adm2_name"":""Eastland""},{""adm2_code"":31310,""adm2_name"":""Hood""},{""adm2_code"":31341,""adm2_name"":""Lampasas""},{""adm2_code"":31383,""adm2_name"":""Parker""},{""adm2_code"":31442,""adm2_name"":""Wichita""},{""adm2_code"":31445,""adm2_name"":""Williamson""}]",2008-01-03,2023-09-25
2007-0251-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,USA,United States of America,Northern America,Americas,New York province,Brief torrential rain,Rain,No,No,No,,6500,Km2,42.23,-74.95,"Spring Brook, Veaverkill Creek",2007,6,19,2007,6,20,4,,120,,120,,,,,,,68.04767383,"[{""adm1_code"":3246,""adm1_name"":""New York""}]",2007-07-13,2023-09-25
2007-0254-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"North Texas, Oklahoma provinces",Heavy rain,,No,No,No,,34750,Km2,33.45,-97.3,Pecan Creek,2007,6,17,2007,6,22,10,,750,,750,,,,,28000,41148,68.04767383,"[{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2007-07-13,2023-09-25
2007-0351-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Alpine, Amador, Calaveras, El Dorado, Mono, Placer, Tuolumne districts (California province)",,,No,No,No,,,Km2,,,,2007,6,24,2007,7,2,,,,768,768,,,150000,220434,,,68.04767383,"[{""adm2_code"":28866,""adm2_name"":""Alpine""},{""adm2_code"":28867,""adm2_name"":""Amador""},{""adm2_code"":28869,""adm2_name"":""Calaveras""},{""adm2_code"":28873,""adm2_name"":""El Dorado""},{""adm2_code"":28890,""adm2_name"":""Mono""},{""adm2_code"":28895,""adm2_name"":""Placer""},{""adm2_code"":28919,""adm2_name"":""Tuolumne""}]",2008-10-21,2023-09-25
2007-0359-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Erin,USA,United States of America,Northern America,Americas,"Texas, Oklahoma, Missouri provinces",,Flood,No,No,No,,132,Kph,,,,2007,8,16,2007,8,19,7,,,,,,,,,,,68.04767383,"[{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2008-03-11,2023-09-25
2007-0383-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Illinois, Colorado, Michigan, Minnesota, Wisconsin, Ohio, Oklahoma, North Dakota provinces",Heavy rains,"Rain|Slide (land, mud, snow, rock)",No,No,No,,1217000,Km2,36.86,-94.64,,2007,8,16,2007,8,27,26,40,2800,,2840,,,450000,661301,700000,1028691,68.04767383,"[{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3236,""adm1_name"":""Michigan""},{""adm1_code"":3237,""adm1_name"":""Minnesota""},{""adm1_code"":3248,""adm1_name"":""North Dakota""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3263,""adm1_name"":""Wisconsin""}]",2008-03-28,2023-09-25
2007-0519-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,USA,United States of America,Northern America,Americas,"Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, Ventura districts (California province)",,Storm,No,No,Yes,,,Km2,,,,2007,10,21,2007,10,24,8,64,640000,,640064,,,1900000,2792160,2500000,3673895,68.04767383,"[{""adm2_code"":28883,""adm2_name"":""Los Angeles""},{""adm2_code"":28894,""adm2_name"":""Orange""},{""adm2_code"":28897,""adm2_name"":""Riverside""},{""adm2_code"":28900,""adm2_name"":""San Bernardino""},{""adm2_code"":28901,""adm2_name"":""San Diego""},{""adm2_code"":28906,""adm2_name"":""Santa Barbara""},{""adm2_code"":28920,""adm2_name"":""Ventura""}]",2008-03-12,2023-09-25
2007-0579-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Malibu area (Los Angeles district, California province)",,,No,No,No,,,Km2,,,,2007,11,24,2007,11,27,,,10000,159,10159,,,,,315000,462911,68.04767383,"[{""adm2_code"":28883,""adm2_name"":""Los Angeles""}]",2008-03-12,2023-09-25
2007-0581-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,"Washington, Oregon provinces",,"Flood|Slide (land, mud, snow, rock)",No,No,Yes,,160,Kph,47.09,-122.91,,2007,12,3,2007,12,7,17,28,1100,,1128,,,200000,293912,1000000,1469558,68.04767383,"[{""adm1_code"":3251,""adm1_name"":""Oregon""},{""adm1_code"":3261,""adm1_name"":""Washington""}]",2008-03-11,2023-09-25
2007-0621-CAN,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,CAN,Canada,Northern America,Americas,"Toronto, Ottawa districts (Ontario province), Montreal district (Quebec province)",,,No,No,No,,,Kph,,,,2007,12,23,2007,12,26,4,,,,,,,,,,,68.04767383,"[{""adm2_code"":12671,""adm2_name"":""Ottawa""},{""adm2_code"":12686,""adm2_name"":""Toronto""},{""adm2_code"":12713,""adm2_name"":""Montréal""}]",2008-03-12,2023-09-25
2007-0621-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,"Illinois, Iowa, Missouri, Minnesota, Kansas, Nebraska, Colorado, Michigan, Wisconsin, Wyoming provinces",,Transport accident,No,No,No,,109,Kph,,,,2007,12,23,2007,12,26,22,,,,,,,,,,,68.04767383,"[{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3236,""adm1_name"":""Michigan""},{""adm1_code"":3237,""adm1_name"":""Minnesota""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3241,""adm1_name"":""Nebraska""},{""adm1_code"":3263,""adm1_name"":""Wisconsin""},{""adm1_code"":3264,""adm1_name"":""Wyoming""}]",2008-03-12,2023-09-25
2007-0641-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,"Oklahoma, Missouri, Iowa, Illinois, Kansas, Nebraska, Connecticut, Michigan, New York, New Jersey, Pennsylvania, Rhode Island provinces",,Transport accident,No,No,No,,,Kph,,,,2007,12,9,2007,12,11,24,2,,,2,,,450000,661301,500000,734779,68.04767383,"[{""adm1_code"":3220,""adm1_name"":""Connecticut""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3236,""adm1_name"":""Michigan""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3241,""adm1_name"":""Nebraska""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3253,""adm1_name"":""Rhode Island""}]",2008-03-28,2023-09-25
2007-0662-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Colorado, Iowa, Kansas, Minnesota, Missouri, Nebraska, Oklahoma, South Dakota provinces",,Flood|Hail,No,No,No,,,Kph,,,,2007,5,4,2007,5,8,12,40,,,40,,,200000,293912,350000,514345,68.04767383,"[{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3237,""adm1_name"":""Minnesota""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3241,""adm1_name"":""Nebraska""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3255,""adm1_name"":""South Dakota""}]",2008-03-11,2023-09-25
